"","X","provcd","urban","mean_income","ratio","count","year"
"77",77,"Shandong","Urban",9804.73796791444,0.975352112676056,561,2012
"78",78,"Henan","Rural",7894.55532617671,0.993415637860082,2422,2012
"79",79,"Henan","Urban",12186.1801278327,0.94683257918552,1721,2012
"80",80,"Hubei","Rural",10001.978021978,1.04494382022472,182,2012
"81",81,"Hubei","Urban",14677.5900621118,0.916666666666667,322,2012
"82",82,"Hunan","Rural",12237.347826087,0.923344947735192,552,2012
"83",83,"Hunan","Urban",16926.5179856115,0.93953488372093,417,2012
"84",84,"Guangdong","Rural",8277.48913718187,1.03152585119798,1611,2012
"85",85,"Guangdong","Urban",14364.7094515753,0.95662100456621,1714,2012
"86",86,"Guangxi","Rural",5079.3987473904,0.995833333333333,479,2012
"87",87,"Guangxi","Urban",8732.70253164557,0.950617283950617,158,2012
"88",88,"Chongqing","Rural",4929.35897435897,1.16666666666667,156,2012
"89",89,"Chongqing","Urban",14010.9130434783,0.957446808510638,184,2012
"90",90,"Sichuan","Rural",6192.44004796163,0.976303317535545,834,2012
"91",91,"Sichuan","Urban",10351.2819843342,0.969151670951157,766,2012
"92",92,"Guizhou","Rural",5246.2754491018,1.12468193384224,835,2012
"93",93,"Guizhou","Urban",9961.55617977528,0.913978494623656,356,2012
"94",94,"Yunnan","Rural",4979.43367346939,1.04699738903394,784,2012
"95",95,"Yunnan","Urban",7569.38666666667,0.956521739130435,225,2012
"96",96,"Shaanxi","Rural",7590.25405405405,1.04419889502762,370,2012
"97",97,"Shaanxi","Urban",14350.3602484472,0.963414634146341,322,2012
"98",98,"Gansu","Rural",6334.13547334059,1.05823068309071,3676,2012
"99",99,"Gansu","Urban",14268.6052631579,0.925333333333333,722,2012
"100",100,"Qinghai","Urban",40000,Inf,1,2012
"101",101,"Ningxia","Rural",3666.66666666667,0.5,3,2012
